,model_name,gamma,memory_size,learning_rate,batch_size,exploration_max,exploration_min,exploration_decay,number_of_episodes,max_steps,use_target,training_time,used_episodes,goal_reached,last_n_scores,steps_to_update,scores_mean,steps_to_learn,steps_to_explore
0,model.hdf5,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
1,model,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
2,model,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
3,model,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
4,model,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
5,model,0.99,100000,0.001,32,1,0.01,0.995,2,1000,True,0,2,False,,,,,
6,model,0.99,100000,0.001,32,1,0.01,0.995,400,1000,False,10,81,False,30.0,100.0,-141.47499268961772,,
7,model,0.99,10,0.001,32,1,0.01,0.995,400,300,False,0,400,False,30.0,100.0,-196.72154911371925,,
8,model,0.99,100000,0.001,32,1,0.01,0.995,400,300,False,297,400,False,30.0,100.0,-52.99682355878578,,
9,model1,0.99,50000,0.001,32,1,0.01,0.995,400,300,False,293,400,False,30.0,100.0,18.866555435165967,,
10,model3,0.99,10000,0.001,32,1,0.01,0.995,400,300,False,286,400,False,30.0,100.0,9.364113676558585,,
11,model4,0.99,10000,0.001,16,1,0.01,0.995,400,300,False,301,400,False,30.0,100.0,-8.363249449069436,,
12,model5,0.99,10000,0.001,16,1,0.01,0.995,400,300,False,150,400,False,30.0,100.0,9.475876024619463,4.0,
13,model6,0.99,10000,0.001,16,1,0.01,0.995,400,500,False,203,400,False,30.0,100.0,-62.68749198916098,4.0,
14,model7,0.99,10000,0.001,16,1,0.01,0.995,400,500,False,189,400,False,30.0,100.0,-52.30719781264084,4.0,10000.0
15,model8,0.99,10000,0.001,16,1,0.01,0.995,400,500,False,184,400,False,30.0,100.0,36.363371059939055,4.0,40000.0
16,model9,0.99,5000,0.001,16,1,0.01,0.995,400,500,False,187,400,False,30.0,100.0,-71.4476046878546,4.0,40000.0
17,model10,0.99,50000,0.001,16,1,0.01,0.995,400,500,False,198,400,False,30.0,100.0,-33.789281794437386,4.0,40000.0
18,model11,0.99,50000,0.001,64,1,0.01,0.995,400,500,False,220,400,False,30.0,100.0,-58.66255044448509,4.0,40000.0
19,model12,0.99,50000,0.1,64,1,0.01,0.995,400,500,False,53,400,False,30.0,100.0,-622.1620161910475,4.0,40000.0
20,model13,0.99,50000,0.01,64,1,0.01,0.995,400,500,False,80,400,False,30.0,100.0,-123.66760280732288,4.0,40000.0
21,model14,0.99,50000,0.005,64,1,0.01,0.995,400,500,False,223,400,False,30.0,100.0,-47.83680631640933,4.0,40000.0
22,model15,0.99,20000,0.005,64,1,0.01,0.995,400,500,False,192,400,False,30.0,100.0,-93.2108713138146,4.0,25000.0
23,model16,0.99,15000,0.001,64,1,0.01,0.95,400,500,False,196,400,False,30.0,100.0,-65.52738419450131,4.0,15000.0
24,model16,0.99,15000,0.001,64,1,0.01,0.99,400,500,False,430,400,False,30.0,100.0,-84.31810272722963,1.0,15000.0
25,model18_64_64_64,0.99,15000,0.001,64,1,0.01,0.99,400,500,False,99,400,False,30.0,100.0,-482.48788805118943,1.0,15000.0
26,model19_128_128,0.99,40000,0.001,64,1,0.01,0.995,1000,500,False,135,1000,False,30.0,100.0,-148.13358689249915,4.0,40000.0
27,model20_128_128,0.99,40000,0.001,64,1,0.01,0.995,1000,500,False,144,1000,False,30.0,100.0,-379.0691862417658,4.0,40000.0
28,model21_128_128_nodr,0.99,40000,0.001,64,1,0.01,0.995,1000,500,False,107,1000,False,30.0,100.0,-142.73967318011316,4.0,40000.0
29,model23_128_128_nodr_nobn,0.99,40000,0.001,64,1,0.01,0.995,1000,500,False,599,1000,False,30.0,100.0,13.157857723447336,4.0,40000.0
30,model23_64_64_nodr_nobn,0.99,40000,0.001,32,1,0.01,0.995,1000,500,False,590,1000,False,30.0,100.0,13.563896317136049,4.0,40000.0
31,model24_64_12_nodr_nobn,0.99,40000,0.001,32,1,0.01,0.995,1000,1000,False,353,411,True,30.0,100.0,203.209379244602,4.0,40000.0
